const_id,project_id,being_approved_by,work_date,tot_hours,const_type, salary 
7,21,The Haifa District,20/11/2020,1.90,2,440.8
2,45,The Haifa District,12/01/2023,5.02,1,1312.36
9,25,The Central District,09/12/2021,7.12,2,1651.066667
10,28,The Haifa District,11/06/2022,1.17,1,305.2
5,32,The Haifa District,10/08/2022,2.52,1,658.36
3,9,The Haifa District,09/02/2022,5.00,2,1160
4,33,Jerusalem District,21/01/2023,2.18,2,506.5333333
7,20,Jerusalem District,22/01/2021,5.48,2,1272.133333
5,13,The Haifa District,20/11/2022,3.35,1,876.36
4,52,The Central District,21/06/2022,1.50,2,348
1,1,Judea and Samaria District,04/11/2021,4.05,1,1059.48
10,30,The Northern District,13/02/2023,5.50,1,1438.8
6,17,The Haifa District,30/05/2021,4.77,2,1105.866667
4,12,The Central District,17/02/2021,10.33,2,2397.333333
3,7,Jerusalem District,29/01/2023,0.32,2,73.46666667
6,18,The Haifa District,21/01/2022,5.45,2,1264.4
5,32,The Haifa District,08/08/2022,5.35,1,1399.56
9,44,The Haifa District,10/01/2023,0.67,2,154.6666667
2,4,The Haifa District,04/05/2022,5.05,1,1321.08
8,24,Jerusalem District,23/08/2022,6.32,1,1652.44
6,16,The Central District,09/02/2022,1.95,2,452.4
9,44,The Haifa District,25/01/2023,2.07,2,479.4666667
4,52,The Central District,25/06/2022,3.22,2,746.2666667
7,21,The Haifa District,09/04/2022,5.33,2,1237.333333
10,28,The Haifa District,20/01/2023,0.75,1,196.2
2,45,The Haifa District,15/01/2023,2.50,1,654
7,20,Jerusalem District,18/03/2021,10.63,2,2466.933333
7,20,Jerusalem District,18/04/2021,1.57,2,363.4666667
1,1,Judea and Samaria District,02/10/2022,7.45,1,1948.92
4,10,South District,12/10/2020,5.17,2,1198.666667
7,19,The Central District,02/03/2021,6.70,2,1554.4
8,23,Jerusalem District,19/04/2021,4.93,1,1290.56
9,44,The Haifa District,22/09/2022,8.02,2,1859.866667
9,58,Judea and Samaria District,16/05/2023,9.47,2,2196.266667
