2,45,The Haifa District,12/01/2023,5.02,1,1312
10,28,The Haifa District,11/06/2022,1.17,1,305
5,32,The Haifa District,10/08/2022,2.52,1,658
4,33,Jerusalem District,21/01/2023,2.18,2,507
5,13,The Haifa District,20/11/2022,3.35,1,876
4,52,The Central District,21/06/2022,1.5,2,348
10,30,The Northern District,13/02/2023,5.5,1,1439
3,7,Jerusalem District,29/01/2023,0.32,2,73
5,32,The Haifa District,08/08/2022,5.35,1,1400
9,44,The Haifa District,10/01/2023,0.67,2,155
2,4,The Haifa District,04/05/2022,5.05,1,1321
8,24,Jerusalem District,23/08/2022,6.32,1,1652
9,44,The Haifa District,25/01/2023,2.07,2,479
4,52,The Central District,25/06/2022,3.22,2,746
7,21,The Haifa District,09/04/2022,5.33,2,1237
10,28,The Haifa District,20/01/2023,0.75,1,196
2,45,The Haifa District,15/01/2023,2.5,1,654
1,1,Judea and Samaria District,02/10/2022,7.45,1,1949
9,44,The Haifa District,22/09/2022,8.02,2,1860
3,8,The Central District,25/06/2022,1.53,2,356
8,49,Judea and Samaria District,06/07/2022,5.55,1,1452
2,4,The Haifa District,05/07/2022,3.05,1,798
9,58,Judea and Samaria District,29/01/2023,2.98,2,692
3,50,South District,27/02/2023,0.68,2,159
3,50,South District,05/02/2023,1.9,2,441
5,31,The Haifa District,25/01/2023,0.15,1,39
2,5,Jerusalem District,14/07/2022,5.6,1,1465
5,35,The Northern District,09/09/2022,5.93,1,1552
2,5,Jerusalem District,06/03/2023,8.45,1,2211
8,22,The Northern District,19/12/2022,2.13,1,558
3,50,South District,11/02/2023,8.08,2,1875
8,48,The Northern District,14/10/2022,4.8,1,1256
2,45,The Haifa District,15/01/2023,1.97,1,514
4,52,The Central District,01/06/2022,9.08,2,2107
10,28,The Haifa District,04/01/2023,5.88,1,1539
7,46,The Haifa District,24/08/2022,0.47,2,108
4,43,The Northern District,26/05/2022,6.77,2,1570
9,53,The Central District,05/04/2022,8.3,2,1926
